Rank,Team,GP,Won,Lost,Tied,Pct,First NFH Season,Division
1,Dallas Cowboys,882,502,374,6,.573,1960,NFC East
2,Green Bay Packers,"1,336",737,562,37,.565,1921,NFC North
3,Chicago Bears,"1,37",749,579,42,.562,1920,NFC North
4,Miami Dolphins,800,445,351,4,.559,1966,AFC East
5,New England Patriots[b],884,489,386,9,.558,1960,AFC East
6,Minnesota Vikings,870,470,390,10,.546,1961,NFC North
7,Baltimore Ravens,352,190,161,1,.541,1996,AFC North
8,New York Giants,"1,305",687,585,33,.539,1925,NFC East
9,Denver Broncos,884,470,404,10,.537,1960,AFC West
10,San Francisco 49ers,"1,002",528,460,14,.534,1950,NFC West
11,Pittsburgh Steelers,"1,179",614,538,20,.532,1933,AFC North
12,Oakland Raiders,884,462,411,11,.529,1960,AFC West
13,Indianapolis Colts[c],966,506,453,7,.527,1953,AFC South
14,Kansas City Chiefs,884,457,415,12,.524,1960,AFC West
15,Seattle Seahawks,660,334,325,1,.507,1976,NFC West
16,Washington Redskins,"1,202",595,581,28,.506,1932,NFC East
17,Carolina Panthers,368,183,184,1,.499,1995,NFC South
18,Los Angeles Chargers[d],884,435,438,11,.498,1960,AFC West
19,Los Angeles Rams,"1,135",555,559,21,.498,1937,NFC West
20,Cleveland Browns,954,462,482,10,.490,1950,AFC North
21,Philadelphia Eagles,"1,188",568,594,26,.489,1933,NFC East
22,Tennessee Titans,884,422,456,6,.481,1960,AFC South
23,Buffalo Bills,884,409,467,8,.467,1960,AFC East
24,Detroit Lions,"1,233",553,648,32,.461,1930,NFC North
25,Cincinnati Bengals,772,351,417,4,.457,1968,AFC North
26,New York Jets,884,397,479,8,.454,1960,AFC East
27,Jacksonville Jaguars,368,165,203,0,.448,1995,AFC South
28,New Orleans Saints,786,349,432,5,.447,1967,NFC South
29,Atlanta Falcons,800,351,443,6,.443,1966,NFC South
30,Houston Texans,256,110,146,0,.430,2002,AFC South
31,Arizona Cardinals,"1,33",550,740,40,.429,1920,NFC West
32,Tampa Bay Buccaneers,660,255,404,1,.387,1976,NFC South
